"","Race Course","Complete","Complete Percentage","Incomplete","Incomplete Percentage","Total"
"1","Ballinrobe",930,87,145,13,1075
"2","Bellewstown",316,86,51,14,367
"3","Clonmel",1371,89,165,11,1536
"4","Cork",1474,85,257,15,1731
"5","Down Royal",976,88,129,12,1105
"6","Downpatrick",1013,89,128,11,1141
"7","Fairyhouse",1968,84,367,16,2335
"8","Galway",1054,88,142,12,1196
"9","Gowran Park",914,86,152,14,1066
"10","Kilbeggan",916,89,110,11,1026
"11","Killarney",668,87,101,13,769
"12","Leopardstown",960,86,153,14,1113
"13","Limerick",1633,83,328,17,1961
"14","Listowel",729,87,110,13,839
"15","Naas",980,93,76,7,1056
"16","Navan",1180,89,153,11,1333
"17","Punchestown",2296,86,364,14,2660
"18","Roscommon",581,88,80,12,661
"19","Sligo",569,92,51,8,620
"20","Thurles",1101,86,179,14,1280
"21","Tipperary",681,84,133,16,814
"22","Tramore",1148,84,224,16,1372
"23","Wexford",1251,83,261,17,1512
